episode,ep_rew,ep_len
355,-10.0,10
356,-18.0,18
357,-15.0,15
358,-25.0,25
359,-15.0,15
360,-27.0,27
361,-15.0,15
362,-10.0,10
363,-14.0,14
364,-20.0,20
365,-18.0,18
366,-27.0,27
367,-13.0,13
368,-10.0,10
369,-18.0,18
370,-13.0,13
371,-11.0,11
372,-12.0,12
373,-23.0,23
374,-8.0,8
375,-27.0,27
376,-8.0,8
377,-31.0,31
378,-13.0,13
379,-16.0,16
380,-12.0,12
381,-28.0,28
382,-32.0,32
383,-8.0,8
384,-18.0,18
385,-21.0,21
386,-24.0,24
387,-22.0,22
388,-8.0,8
389,-24.0,24
390,-14.0,14
391,-9.0,9
392,-10.0,10
393,-24.0,24
394,-17.0,17
395,-11.0,11
396,-9.0,9
397,-10.0,10
398,-30.0,30
399,-15.0,15
400,-18.0,18
401,-17.0,17
402,-50.0,50
403,-16.0,16
404,-17.0,17
405,-13.0,13
406,-18.0,18
407,-18.0,18
408,-11.0,11
409,-16.0,16
410,-8.0,8
411,-14.0,14
412,-24.0,24
413,-20.0,20
414,-9.0,9
415,-10.0,10
416,-21.0,21
417,-13.0,13
418,-11.0,11
419,-30.0,30
420,-42.0,42
421,-24.0,24
422,-16.0,16
423,-11.0,11
424,-17.0,17
425,-13.0,13
426,-24.0,24
427,-10.0,10
428,-23.0,23
429,-14.0,14
430,-23.0,23
431,-17.0,17
432,-15.0,15
433,-12.0,12
434,-15.0,15
435,-10.0,10
436,-17.0,17
437,-17.0,17
438,-24.0,24
439,-12.0,12
440,-16.0,16
441,-20.0,20
442,-9.0,9
443,-16.0,16
444,-21.0,21
445,-28.0,28
446,-10.0,10
447,-9.0,9
448,-10.0,10
449,-13.0,13
450,-8.0,8
451,-14.0,14
452,-14.0,14
453,-28.0,28
454,-14.0,14
455,-15.0,15
456,-24.0,24
457,-14.0,14
458,-50.0,50
459,-22.0,22
460,-8.0,8
461,-18.0,18
462,-20.0,20
463,-20.0,20
464,-16.0,16
465,-16.0,16
466,-15.0,15
467,-11.0,11
468,-12.0,12
469,-43.0,43
470,-12.0,12
471,-10.0,10
472,-18.0,18
473,-13.0,13
474,-16.0,16
475,-10.0,10
476,-8.0,8
477,-14.0,14
478,-12.0,12
479,-16.0,16
480,-14.0,14
481,-28.0,28
482,-11.0,11
483,-35.0,35
484,-24.0,24
485,-11.0,11
486,-14.0,14
487,-16.0,16
488,-14.0,14
489,-19.0,19
490,-8.0,8
491,-21.0,21
492,-9.0,9
493,-8.0,8
494,-19.0,19
495,-10.0,10
496,-15.0,15
497,-29.0,29
498,-16.0,16
499,-13.0,13
500,-15.0,15
501,-27.0,27
502,-22.0,22
503,-11.0,11
504,-15.0,15
505,-16.0,16
506,-14.0,14
507,-17.0,17
508,-11.0,11
509,-8.0,8
510,-13.0,13
511,-26.0,26
512,-9.0,9
513,-15.0,15
514,-30.0,30
515,-17.0,17
516,-21.0,21
517,-12.0,12
518,-10.0,10
519,-10.0,10
520,-10.0,10
521,-10.0,10
522,-15.0,15
523,-25.0,25
524,-10.0,10
525,-9.0,9
526,-14.0,14
527,-8.0,8
528,-11.0,11
529,-10.0,10
530,-17.0,17
531,-11.0,11
532,-15.0,15
533,-9.0,9
534,-14.0,14
535,-11.0,11
536,-14.0,14
537,-17.0,17
538,-9.0,9
539,-12.0,12
540,-9.0,9
541,-12.0,12
542,-12.0,12
543,-9.0,9
544,-22.0,22
545,-10.0,10
546,-12.0,12
547,-20.0,20
548,-8.0,8
549,-13.0,13
550,-11.0,11
551,-9.0,9
552,-9.0,9
553,-9.0,9
554,-10.0,10
555,-18.0,18
556,-8.0,8
557,-15.0,15
558,-10.0,10
559,-8.0,8
560,-18.0,18
561,-10.0,10
562,-12.0,12
563,-9.0,9
564,-11.0,11
565,-8.0,8
566,-26.0,26
567,-15.0,15
568,-22.0,22
569,-12.0,12
570,-16.0,16
571,-11.0,11
572,-10.0,10
573,-12.0,12
574,-10.0,10
575,-12.0,12
576,-29.0,29
577,-27.0,27
578,-14.0,14
579,-10.0,10
580,-28.0,28
581,-10.0,10
582,-10.0,10
583,-10.0,10
584,-17.0,17
585,-8.0,8
586,-8.0,8
587,-33.0,33
588,-8.0,8
589,-29.0,29
590,-14.0,14
591,-19.0,19
592,-22.0,22
593,-8.0,8
594,-13.0,13
595,-10.0,10
596,-8.0,8
597,-20.0,20
598,-20.0,20
599,-18.0,18
600,-14.0,14
601,-10.0,10
602,-9.0,9
603,-11.0,11
604,-16.0,16
605,-12.0,12
606,-8.0,8
607,-19.0,19
608,-10.0,10
609,-21.0,21
610,-15.0,15
611,-17.0,17
612,-16.0,16
613,-18.0,18
614,-21.0,21
615,-13.0,13
616,-8.0,8
617,-9.0,9
618,-17.0,17
619,-11.0,11
620,-15.0,15
621,-9.0,9
622,-18.0,18
623,-8.0,8
624,-12.0,12
625,-9.0,9
626,-8.0,8
627,-10.0,10
628,-9.0,9
629,-10.0,10
630,-13.0,13
631,-12.0,12
632,-11.0,11
633,-10.0,10
634,-12.0,12
635,-11.0,11
636,-19.0,19
637,-10.0,10
638,-12.0,12
639,-17.0,17
640,-28.0,28
641,-12.0,12
642,-11.0,11
643,-9.0,9
644,-12.0,12
645,-12.0,12
646,-8.0,8
647,-9.0,9
648,-20.0,20
649,-8.0,8
650,-13.0,13
651,-16.0,16
652,-10.0,10
653,-18.0,18
654,-9.0,9
655,-17.0,17
656,-13.0,13
657,-8.0,8
658,-20.0,20
659,-17.0,17
660,-11.0,11
661,-17.0,17
662,-8.0,8
663,-9.0,9
664,-16.0,16
665,-12.0,12
666,-15.0,15
667,-18.0,18
668,-18.0,18
669,-11.0,11
670,-12.0,12
671,-11.0,11
672,-21.0,21
673,-14.0,14
674,-15.0,15
675,-10.0,10
676,-9.0,9
677,-9.0,9
678,-13.0,13
679,-13.0,13
680,-12.0,12
681,-9.0,9
682,-17.0,17
683,-9.0,9
684,-16.0,16
685,-16.0,16
686,-15.0,15
687,-9.0,9
688,-10.0,10
689,-8.0,8
690,-18.0,18
691,-11.0,11
692,-8.0,8
693,-9.0,9
694,-13.0,13
695,-13.0,13
696,-9.0,9
697,-10.0,10
698,-18.0,18
699,-11.0,11
700,-8.0,8
701,-23.0,23
702,-8.0,8
703,-9.0,9
704,-15.0,15
705,-8.0,8
706,-13.0,13
707,-8.0,8
708,-19.0,19
709,-10.0,10
710,-16.0,16
711,-18.0,18
712,-11.0,11
713,-10.0,10
714,-10.0,10
715,-11.0,11
716,-8.0,8
717,-10.0,10
718,-13.0,13
719,-17.0,17
720,-10.0,10
721,-9.0,9
722,-15.0,15
723,-20.0,20
724,-12.0,12
725,-18.0,18
726,-24.0,24
727,-9.0,9
728,-15.0,15
729,-18.0,18
730,-19.0,19
731,-8.0,8
732,-8.0,8
733,-10.0,10
734,-13.0,13
735,-9.0,9
736,-17.0,17
737,-9.0,9
738,-10.0,10
739,-18.0,18
740,-10.0,10
741,-14.0,14
742,-10.0,10
743,-12.0,12
744,-12.0,12
745,-10.0,10
746,-18.0,18
747,-10.0,10
748,-21.0,21
749,-10.0,10
750,-10.0,10
751,-23.0,23
752,-11.0,11
753,-18.0,18
754,-12.0,12
755,-14.0,14
756,-12.0,12
757,-9.0,9
758,-9.0,9
759,-14.0,14
760,-8.0,8
761,-9.0,9
762,-9.0,9
763,-8.0,8
764,-12.0,12
765,-11.0,11
766,-14.0,14
767,-12.0,12
768,-14.0,14
769,-12.0,12
770,-8.0,8
771,-12.0,12
772,-18.0,18
773,-11.0,11
774,-24.0,24
775,-17.0,17
776,-11.0,11
777,-8.0,8
778,-14.0,14
779,-9.0,9
780,-13.0,13
781,-9.0,9
782,-11.0,11
783,-14.0,14
784,-9.0,9
785,-14.0,14
786,-8.0,8
787,-11.0,11
788,-10.0,10
789,-15.0,15
790,-10.0,10
791,-9.0,9
792,-8.0,8
793,-10.0,10
794,-11.0,11
795,-15.0,15
796,-11.0,11
797,-21.0,21
798,-12.0,12
799,-16.0,16
800,-9.0,9
801,-11.0,11
802,-8.0,8
803,-10.0,10
804,-13.0,13
805,-19.0,19
806,-10.0,10
807,-19.0,19
808,-11.0,11
809,-8.0,8
810,-8.0,8
811,-16.0,16
812,-8.0,8
813,-15.0,15
814,-9.0,9
815,-15.0,15
816,-12.0,12
817,-10.0,10
818,-11.0,11
819,-10.0,10
820,-13.0,13
