episode,ep_rew,ep_len
355,-10.0,6
356,-61.0,61
357,-9.0,11
358,-30.0,30
359,-22.0,22
360,-15.0,17
361,-27.0,27
362,-9.0,4
363,-10.0,10
364,-9.0,8
365,-11.0,9
366,-35.0,35
367,-9.0,16
368,-25.0,25
369,-11.0,12
370,-27.0,27
371,-33.0,33
372,-9.0,7
373,-25.0,25
374,-16.0,16
375,-14.0,15
376,-11.0,15
377,-11.0,9
378,-9.0,13
379,-15.0,15
380,-30.0,30
381,-10.0,7
382,-9.0,14
383,-50.0,50
384,-9.0,9
385,-29.0,29
386,-9.0,15
387,-32.0,32
388,-9.0,8
389,-32.0,32
390,-31.0,31
391,-21.0,21
392,-14.0,14
393,-9.0,10
394,-110.0,100
395,-19.0,19
396,-13.0,17
397,-9.0,12
398,-9.0,7
399,-12.0,21
400,-11.0,13
401,-9.0,10
402,-19.0,19
403,-28.0,28
404,-14.0,21
405,-9.0,11
406,-19.0,19
407,-16.0,16
408,-9.0,8
409,-22.0,22
410,-11.0,9
411,-40.0,40
412,-12.0,11
413,-22.0,22
414,-25.0,25
415,-35.0,35
416,-23.0,23
417,-19.0,19
418,-30.0,30
419,-10.0,11
420,-10.0,13
421,-22.0,22
422,-39.0,39
423,-27.0,27
424,-33.0,33
425,-34.0,34
426,-40.0,40
427,-24.0,24
428,-18.0,18
429,-36.0,36
430,-17.0,17
431,-14.0,14
432,-25.0,25
433,-9.0,9
434,-65.0,65
435,-34.0,34
436,-27.0,27
437,-25.0,25
438,-12.0,12
439,-48.0,48
440,-11.0,12
441,-36.0,36
442,-20.0,20
443,-47.0,47
444,-9.0,16
445,-9.0,9
446,-26.0,26
447,-11.0,14
448,-17.0,17
449,-9.0,8
450,-21.0,21
451,-10.0,12
452,-32.0,32
453,-12.0,12
454,-24.0,24
455,-10.0,7
456,-9.0,4
457,-22.0,22
458,-20.0,20
459,-18.0,18
460,-9.0,11
461,-9.0,5
462,-9.0,6
463,-34.0,34
464,-36.0,36
465,-12.0,18
466,-15.0,15
467,-10.0,17
468,-25.0,25
469,-11.0,8
470,-33.0,33
471,-21.0,21
472,-24.0,24
473,-25.0,25
474,-18.0,18
475,-29.0,29
476,-13.0,15
477,-29.0,29
478,-27.0,27
479,-33.0,33
480,-9.0,6
481,-19.0,19
482,-26.0,26
483,-16.0,16
484,-10.0,13
485,-24.0,24
486,-10.0,14
487,-26.0,21
488,-9.0,8
489,-28.0,28
490,-9.0,8
491,-11.0,15
492,-19.0,19
493,-19.0,19
494,-40.0,40
495,-33.0,33
496,-10.0,10
497,-17.0,17
498,-10.0,10
499,-22.0,22
500,-11.0,11
501,-29.0,29
502,-15.0,15
503,-10.0,8
504,-9.0,7
505,-23.0,23
506,-10.0,9
507,-9.0,11
508,-15.0,15
509,-22.0,22
510,-20.0,20
511,-10.0,12
512,-9.0,9
513,-9.0,9
514,-9.0,9
515,-17.0,17
516,-10.0,8
517,-17.0,17
518,-17.0,17
519,-18.0,28
520,-19.0,19
521,-9.0,8
522,-10.0,14
523,-17.0,17
524,-22.0,22
525,-9.0,22
526,-10.0,12
527,-17.0,17
528,-9.0,10
529,-18.0,18
530,-32.0,32
531,-17.0,17
532,-18.0,18
533,-23.0,23
534,-10.0,8
535,-33.0,33
536,-15.0,15
537,-28.0,28
538,-9.0,6
539,-29.0,29
540,-20.0,20
541,-13.0,13
542,-10.0,9
543,-22.0,22
544,-9.0,11
545,-10.0,14
546,-10.0,13
547,-30.0,30
548,-22.0,18
549,-10.0,15
550,-21.0,21
551,-12.0,14
552,-17.0,17
553,-9.0,11
554,-15.0,15
555,-19.0,19
556,-23.0,23
557,-23.0,23
558,-16.0,16
559,-10.0,6
560,-12.0,20
561,-20.0,20
562,-12.0,16
563,-33.0,33
564,-28.0,28
565,-21.0,21
566,-20.0,32
567,-14.0,14
568,-21.0,21
569,-22.0,22
570,-9.0,9
571,-23.0,23
572,-10.0,10
573,-34.0,34
574,-17.0,17
575,-19.0,19
576,-9.0,6
577,-16.0,16
578,-37.0,37
579,-11.0,21
580,-9.0,8
581,-11.0,11
582,-21.0,21
583,-10.0,14
584,-29.0,29
585,-13.0,21
586,-9.0,7
587,-22.0,22
588,-16.0,16
589,-9.0,10
590,-13.0,16
591,-13.0,20
592,-11.0,18
593,-9.0,9
594,-32.0,32
595,-142.0,78
596,-22.0,19
597,-9.0,7
598,-9.0,9
