episode,ep_rew,ep_len
355,-110.0,100
356,-12.0,8
357,-14.0,18
358,-110.0,100
359,-18.0,16
360,-14.0,11
361,-17.0,17
362,-91.0,74
363,-21.0,34
364,-13.0,9
365,-15.0,34
366,-21.0,26
367,-12.0,16
368,-110.0,100
369,-12.0,9
370,-13.0,11
371,-14.0,11
372,-9.0,5
373,-19.0,23
374,-11.0,15
375,-18.0,21
376,-19.0,21
377,-12.0,10
378,-17.0,19
379,-66.0,66
380,-110.0,100
381,-13.0,18
382,-9.0,8
383,-110.0,100
384,-15.0,48
385,-110.0,100
386,-22.0,38
387,-12.0,12
388,-27.0,47
389,-110.0,100
390,-110.0,100
391,-18.0,18
392,-20.0,29
393,-9.0,9
394,-15.0,32
395,-17.0,18
396,-15.0,15
397,-10.0,11
398,-83.0,83
399,-17.0,27
400,-13.0,15
401,-13.0,13
402,-110.0,100
403,-12.0,13
404,-110.0,100
405,-110.0,100
406,-110.0,100
407,-110.0,100
408,-110.0,100
409,-19.0,21
410,-14.0,19
411,-110.0,100
412,-14.0,30
413,-110.0,100
414,-69.0,69
415,-14.0,16
416,-45.0,45
417,-13.0,12
418,-17.0,21
419,-96.0,96
420,-9.0,8
421,-110.0,100
422,-110.0,100
423,-49.0,49
424,-18.0,18
425,-12.0,12
426,-110.0,100
427,-110.0,100
428,-110.0,100
429,-11.0,16
430,-21.0,21
431,-13.0,14
432,-59.0,59
433,-10.0,8
434,-82.0,82
435,-22.0,19
436,-12.0,13
437,-64.0,64
438,-92.0,92
439,-12.0,12
440,-27.0,27
441,-19.0,35
442,-10.0,10
443,-110.0,100
444,-9.0,8
445,-15.0,15
446,-44.0,44
447,-110.0,100
448,-20.0,22
449,-110.0,100
450,-16.0,21
451,-49.0,49
452,-110.0,100
453,-13.0,15
454,-110.0,100
455,-13.0,14
456,-110.0,100
457,-23.0,25
458,-11.0,18
459,-12.0,25
460,-9.0,16
461,-13.0,42
462,-11.0,9
463,-12.0,30
464,-17.0,21
465,-110.0,100
466,-110.0,100
467,-110.0,100
468,-15.0,14
469,-10.0,8
470,-43.0,43
471,-43.0,43
472,-110.0,100
473,-93.0,93
474,-9.0,5
475,-18.0,35
476,-9.0,13
477,-18.0,17
478,-110.0,100
479,-10.0,9
480,-132.0,100
481,-13.0,10
482,-110.0,100
483,-11.0,9
484,-39.0,39
485,-15.0,20
486,-110.0,100
487,-50.0,50
488,-110.0,100
489,-133.0,100
490,-10.0,10
491,-40.0,40
492,-25.0,53
493,-110.0,100
494,-58.0,58
495,-45.0,45
496,-16.0,18
497,-15.0,14
498,-12.0,11
499,-12.0,11
500,-22.0,40
501,-14.0,15
502,-110.0,100
503,-13.0,13
504,-14.0,13
505,-14.0,13
506,-10.0,13
507,-110.0,100
508,-110.0,100
509,-11.0,12
510,-15.0,22
511,-110.0,100
512,-82.0,82
513,-34.0,34
514,-21.0,21
515,-15.0,18
516,-10.0,6
517,-16.0,17
518,-15.0,19
519,-11.0,15
520,-54.0,54
521,-110.0,100
522,-10.0,9
523,-12.0,9
524,-29.0,29
525,-110.0,100
526,-17.0,19
527,-110.0,100
528,-11.0,12
529,-69.0,69
530,-14.0,17
531,-52.0,52
532,-110.0,100
533,-12.0,15
534,-25.0,45
535,-11.0,10
536,-29.0,29
537,-25.0,44
538,-21.0,31
539,-21.0,22
540,-110.0,100
541,-17.0,18
542,-98.0,98
543,-17.0,21
544,-16.0,30
545,-59.0,59
546,-93.0,93
547,-12.0,9
548,-11.0,9
549,-110.0,100
550,-17.0,20
551,-11.0,14
552,-11.0,9
553,-12.0,10
554,-110.0,100
555,-9.0,7
556,-136.0,100
557,-12.0,12
558,-26.0,31
559,-110.0,100
560,-83.0,83
561,-9.0,5
562,-9.0,6
563,-10.0,14
564,-12.0,11
565,-17.0,17
566,-110.0,100
567,-110.0,100
568,-110.0,100
569,-10.0,12
570,-18.0,25
571,-70.0,70
572,-11.0,16
573,-18.0,36
574,-110.0,100
575,-11.0,10
576,-12.0,17
577,-13.0,12
578,-80.0,80
579,-15.0,20
580,-9.0,5
581,-16.0,19
582,-110.0,100
583,-13.0,10
584,-21.0,30
585,-16.0,35
586,-110.0,100
587,-110.0,100
588,-11.0,9
589,-110.0,100
590,-135.0,100
591,-14.0,11
592,-18.0,19
593,-11.0,9
594,-16.0,15
595,-27.0,28
596,-110.0,100
597,-11.0,21
598,-11.0,7
599,-10.0,13
600,-13.0,12
601,-83.0,83
602,-110.0,100
603,-14.0,16
604,-82.0,82
605,-110.0,100
606,-16.0,29
607,-10.0,9
608,-110.0,100
609,-136.0,100
610,-18.0,14
611,-44.0,44
612,-110.0,100
613,-16.0,16
614,-137.0,100
615,-110.0,100
616,-44.0,44
617,-13.0,14
618,-15.0,16
619,-136.0,100
620,-110.0,100
621,-134.0,100
622,-110.0,100
623,-110.0,100
624,-10.0,11
625,-28.0,53
